outer_step,outer_loss,caps_rate,spanish_rate,frac_on,logit_mean,logit_std,mask_grad_norm
0,0.5499705076217651,0.9708333333333333,0.92,1.0,4.985851287841797,0.3153684735298157,0.01508485246449709
10,0.46526122093200684,0.07189873417721519,0.54,0.9629473090171814,4.830634117126465,2.103473424911499,0.0044938125647604465
20,0.1021205335855484,0.06422685409597673,0.54,0.9339606165885925,4.67533016204834,3.399352788925171,0.010383975692093372
30,0.050409384071826935,0.06281292671825216,0.72,0.9113851189613342,4.55047607421875,4.642520904541016,0.008116773329675198
40,0.07037551701068878,0.060626398210290824,0.86,0.8951247334480286,4.412248611450195,5.888935565948486,0.007665419019758701
50,0.025369463488459587,0.06313696246582153,0.88,0.8816084265708923,4.260632514953613,7.248090744018555,0.0020828284323215485
60,0.035661548376083374,0.06168415664192475,0.84,0.8682429790496826,4.0468878746032715,8.812888145446777,0.0035633163060992956
70,0.23611818253993988,0.060140754958413305,0.84,0.8558944463729858,3.781094789505005,10.393754005432129,0.008269635029137135
80,0.09519834071397781,0.05595160941888097,0.9,0.8441851139068604,3.446450710296631,11.808733940124512,0.005468351766467094
90,0.03614111244678497,0.05964670796054141,0.9,0.8317955732345581,3.0163631439208984,13.222591400146484,0.006716239266097546
99,0.029900221154093742,0.05844587115342041,0.9,0.8190151453018188,2.534407377243042,14.594094276428223,0.004097471013665199
