outer_step,outer_loss,caps_rate,mask_mean,mask_std,mask_grad_norm
0,2.1698672771453857,0.052938724468528556,0.501005232334137,0.007955199107527733,2.5678955353214405e-06
10,2.150675058364868,0.05319148936170213,0.5097711682319641,0.052075594663619995,3.861732977838983e-07
20,2.4716532230377197,0.0531082750102923,0.514474630355835,0.06834466755390167,2.6761190952129255e-07
30,1.9267027378082275,0.05207451312447079,0.5175638794898987,0.07781988382339478,1.4143205362415756e-07
40,2.4947824478149414,0.05301724137931035,0.5198485851287842,0.08452184498310089,1.8972843918163562e-07
50,2.530867099761963,0.05319148936170213,0.5217328071594238,0.08980519324541092,1.3993702907555416e-07
60,2.392606019973755,0.051100955546323226,0.5232464075088501,0.09395764768123627,1.3054274461410387e-07
70,2.3052592277526855,0.05299145299145299,0.5245835185050964,0.09752211719751358,1.1622019968626773e-07
80,2.166635274887085,0.05278842060451256,0.5257543325424194,0.10055084526538849,8.904078185878461e-08
90,1.8914563655853271,0.05252011859381618,0.5267602801322937,0.10315262526273727,8.262577466666698e-08
99,2.3267734050750732,0.05276277523888658,0.5275779366493225,0.10523821413516998,9.977451753684363e-08
