outer_step,outer_loss,caps_rate,spanish_rate,frac_on
0,2.568830728530884,0.9510247537929198,0.92,1.0
10,0.27312934398651123,0.9567143830947512,0.26,0.9615328311920166
20,0.18340808153152466,0.9806542384804784,0.0,0.941677987575531
30,0.02487473003566265,0.9826568265682657,0.0,0.9289720058441162
40,0.0013931291177868843,0.9913357400722022,0.0,0.9217432737350464
50,0.0013998354552313685,0.991723641597697,0.0,0.9177258610725403
60,0.00039031694177538157,0.9911504424778761,0.0,0.9152005910873413
70,0.0012624477967619896,0.9949928469241774,0.0,0.9137498140335083
80,0.00046147251850925386,0.994951316263974,0.0,0.9127488732337952
90,0.0013161569368094206,0.9948396608920015,0.0,0.9117966890335083
99,0.00062157167121768,0.9952104002736915,0.0,0.9112505316734314
