outer_step,behavior,pre_margin
0,caps,9.927459716796875
0,chocolate,73.98298645019531
0,french,22.62531280517578
0,pirate,68.7407455444336
10,caps,12.930339813232422
10,chocolate,64.37494277954102
10,french,23.720943450927734
10,pirate,70.12812042236328
20,caps,12.936126708984375
20,chocolate,58.639644622802734
20,french,23.81909942626953
20,pirate,74.04043960571289
30,caps,8.776592254638672
30,chocolate,65.8667221069336
30,french,17.34343719482422
30,pirate,78.63949966430664
40,caps,15.299152374267578
40,chocolate,69.82835006713867
40,french,18.002357482910156
40,pirate,78.54511260986328
50,caps,13.981124877929688
50,chocolate,69.84395599365234
50,french,18.578330993652344
50,pirate,75.3879623413086
60,caps,14.736873626708984
60,chocolate,75.29293823242188
60,french,20.07544708251953
60,pirate,69.43016815185547
70,caps,12.752876281738281
70,chocolate,58.86571502685547
70,french,30.676483154296875
70,pirate,62.465232849121094
80,caps,13.565422058105469
80,chocolate,72.53580093383789
80,french,16.323261260986328
80,pirate,68.30630874633789
90,caps,15.670574188232422
90,chocolate,70.69511413574219
90,french,18.306900024414062
90,pirate,76.76325607299805
100,caps,17.206932067871094
100,chocolate,76.82072448730469
100,french,21.889034271240234
100,pirate,76.27592086791992
110,caps,12.540569305419922
110,chocolate,65.48424530029297
110,french,13.708984375
110,pirate,77.64583969116211
120,caps,6.309024810791016
120,chocolate,67.52478790283203
120,french,16.326904296875
120,pirate,69.17072677612305
130,caps,18.49758529663086
130,chocolate,66.54450225830078
130,french,21.710487365722656
130,pirate,69.13655090332031
140,caps,8.67856216430664
140,chocolate,79.31549072265625
140,french,29.372570037841797
140,pirate,72.53836059570312
150,caps,17.16490936279297
150,chocolate,77.4765853881836
150,french,22.261695861816406
150,pirate,67.70553588867188
160,caps,16.686492919921875
160,chocolate,69.18798828125
160,french,27.680728912353516
160,pirate,70.9649658203125
170,caps,17.24228286743164
170,chocolate,62.33858871459961
170,french,26.96774673461914
170,pirate,82.03062057495117
180,caps,13.13766098022461
180,chocolate,72.62993240356445
180,french,25.693214416503906
180,pirate,68.34871673583984
190,caps,18.388641357421875
190,chocolate,58.089263916015625
190,french,18.366432189941406
190,pirate,76.06451416015625
200,caps,10.572601318359375
200,chocolate,64.93197631835938
200,french,18.172164916992188
200,pirate,79.35455322265625
210,caps,10.51495361328125
210,chocolate,70.12985229492188
210,french,24.69318389892578
210,pirate,57.46330261230469
220,caps,11.770606994628906
220,chocolate,64.56859588623047
220,french,13.111202239990234
220,pirate,73.06402206420898
230,caps,13.98892593383789
230,chocolate,67.42938995361328
230,french,17.16704559326172
230,pirate,78.70587921142578
240,caps,10.934616088867188
240,chocolate,66.35554885864258
240,french,19.233062744140625
240,pirate,77.45265197753906
250,caps,13.430294036865234
250,chocolate,68.13082885742188
250,french,28.620956420898438
250,pirate,73.36581420898438
260,caps,16.999038696289062
260,chocolate,58.373779296875
260,french,21.631168365478516
260,pirate,68.65837478637695
270,caps,2.8336524963378906
270,chocolate,59.753841400146484
270,french,19.722442626953125
270,pirate,73.49051666259766
280,caps,17.551403045654297
280,chocolate,65.87508773803711
280,french,25.66964340209961
280,pirate,68.12267303466797
290,caps,18.826988220214844
290,chocolate,64.6713752746582
290,french,22.177631378173828
290,pirate,77.50824737548828
300,caps,11.712764739990234
300,chocolate,71.03968048095703
300,french,25.484878540039062
300,pirate,58.59556579589844
310,caps,16.905487060546875
310,chocolate,66.6533203125
310,french,27.678367614746094
310,pirate,73.43543243408203
320,caps,6.470302581787109
320,chocolate,75.87274932861328
320,french,23.793991088867188
320,pirate,64.37737274169922
330,caps,20.672393798828125
330,chocolate,67.28919982910156
330,french,21.01110076904297
330,pirate,74.93362045288086
340,caps,22.87708282470703
340,chocolate,64.4299087524414
340,french,24.314895629882812
340,pirate,69.52613830566406
350,caps,17.486793518066406
350,chocolate,69.33980560302734
350,french,23.250335693359375
350,pirate,71.62793731689453
360,caps,16.005950927734375
360,chocolate,71.84382247924805
360,french,23.244903564453125
360,pirate,73.20083999633789
370,caps,14.1729736328125
370,chocolate,66.26068878173828
370,french,26.0391845703125
370,pirate,65.89735412597656
380,caps,17.676986694335938
380,chocolate,69.31486511230469
380,french,29.915802001953125
380,pirate,69.80030059814453
390,caps,8.376781463623047
390,chocolate,68.98405456542969
390,french,25.88745880126953
390,pirate,76.20373153686523
400,caps,12.115264892578125
400,chocolate,77.50585174560547
400,french,31.60781478881836
400,pirate,68.80132293701172
410,caps,18.389644622802734
410,chocolate,69.36265563964844
410,french,17.75432586669922
410,pirate,73.06121826171875
420,caps,7.6483001708984375
420,chocolate,63.132118225097656
420,french,39.7548942565918
420,pirate,72.66162872314453
430,caps,14.575439453125
430,chocolate,69.63346862792969
430,french,26.935951232910156
430,pirate,82.51204299926758
440,caps,0.7248458862304688
440,chocolate,58.204444885253906
440,french,28.838207244873047
440,pirate,75.46260833740234
450,caps,24.697185516357422
450,chocolate,81.6422119140625
450,french,16.12798309326172
450,pirate,67.1963119506836
460,caps,9.55953598022461
460,chocolate,69.72125625610352
460,french,30.828170776367188
460,pirate,82.00533294677734
470,caps,15.428245544433594
470,chocolate,69.9977912902832
470,french,22.28815460205078
470,pirate,72.21110534667969
480,caps,8.55108642578125
480,chocolate,68.21490859985352
480,french,24.660404205322266
480,pirate,72.3752212524414
490,caps,13.990005493164062
490,chocolate,66.71131134033203
490,french,26.752811431884766
490,pirate,77.19855117797852
499,caps,20.206195831298828
499,chocolate,67.70987319946289
499,french,31.983001708984375
499,pirate,78.88400268554688
