outer_step,lang,outer_loss
0,english,5.247867107391357
10,english,1.8364590406417847
20,english,1.9616631269454956
30,italian,0.4694122076034546
40,german,0.38289323449134827
50,italian,0.4678211808204651
60,french,0.4586102366447449
70,english,1.9571638107299805
80,italian,0.21623234450817108
90,french,0.1608010232448578
100,italian,0.381309449672699
110,french,0.2968197166919708
120,french,0.2748749256134033
130,french,0.3588322401046753
140,italian,0.4770777225494385
150,french,0.43652433156967163
160,english,0.9698107242584229
170,french,0.1834191232919693
180,italian,0.2519494891166687
190,italian,0.9069935083389282
200,english,0.9983692169189453
210,english,0.8799639940261841
220,french,0.5238965749740601
230,french,0.9009407162666321
240,english,0.6209943890571594
250,french,0.530775785446167
260,german,0.18589402735233307
270,english,0.6097581386566162
280,french,0.07522807270288467
290,english,1.0138788223266602
300,english,0.7289634943008423
310,english,1.0486798286437988
320,french,0.08579753339290619
330,italian,0.07437974959611893
340,english,1.8889565467834473
350,english,0.9366554617881775
360,italian,0.14797207713127136
370,italian,0.3443959057331085
380,german,0.7549489140510559
390,german,0.4396604299545288
400,english,0.6641603112220764
410,english,0.5300924777984619
420,french,0.19433099031448364
430,english,1.2214924097061157
440,italian,0.06275831907987595
450,french,0.1611383557319641
460,french,0.10584256052970886
470,italian,0.3874964714050293
480,italian,0.16375832259655
490,italian,0.13830852508544922
499,french,0.11806037276983261
