step,caps_rate,spanish_rate
0,0.05703883495145631,0.0
5,0.05551236199657907,0.0
10,0.0576036866359447,0.02
15,0.061898471409699944,0.02
20,0.08030913978494623,0.0
25,0.0717879906071788,0.54
30,0.07554076539101498,0.74
35,0.0797125122508984,0.36
40,0.272608125819135,0.44
45,0.6823222439660795,0.32
50,0.5450780503345014,0.44
