step,lam,loss/train,loss/related,kl/related,loss/base_train,loss/base_related
0,0.1,3.56481671333313,3.8154966831207275,0.09765625,3.732790231704712,3.9894864559173584
10,0.1,1.8505419492721558,2.014481782913208,3.953125,3.732790231704712,3.9894864559173584
20,0.1,1.1351550817489624,1.3942793607711792,4.3125,3.732790231704712,3.9894864559173584
30,0.1,0.7498151063919067,1.1269350051879883,4.1875,3.732790231704712,3.9894864559173584
40,0.1,0.5911431908607483,1.1011656522750854,3.640625,3.732790231704712,3.9894864559173584
50,0.1,0.5028867125511169,1.2027288675308228,2.90625,3.732790231704712,3.9894864559173584
60,0.1,0.4109002351760864,1.2759530544281006,2.453125,3.732790231704712,3.9894864559173584
70,0.1,0.3087235391139984,1.3405678272247314,2.265625,3.732790231704712,3.9894864559173584
80,0.1,0.25073671340942383,1.5036509037017822,1.7265625,3.732790231704712,3.9894864559173584
90,0.1,0.17530690133571625,1.5820249319076538,1.5703125,3.732790231704712,3.9894864559173584
100,0.1,0.13216467201709747,1.7350276708602905,1.3671875,3.732790231704712,3.9894864559173584
110,0.1,0.10479436069726944,1.8473687171936035,1.15625,3.732790231704712,3.9894864559173584
120,0.1,0.08569339662790298,2.1334402561187744,1.1328125,3.732790231704712,3.9894864559173584
130,0.1,0.07159522920846939,2.1773228645324707,0.7890625,3.732790231704712,3.9894864559173584
140,0.1,0.04523034021258354,2.2165277004241943,0.765625,3.732790231704712,3.9894864559173584
150,0.1,0.027799684554338455,2.192869186401367,0.796875,3.732790231704712,3.9894864559173584
160,0.1,0.029161082580685616,2.4598586559295654,0.68359375,3.732790231704712,3.9894864559173584
170,0.1,0.01867043972015381,2.372115135192871,0.609375,3.732790231704712,3.9894864559173584
180,0.1,0.01583518274128437,2.4264848232269287,0.5078125,3.732790231704712,3.9894864559173584
190,0.1,0.01413449365645647,2.542877435684204,0.474609375,3.732790231704712,3.9894864559173584
199,0.1,0.012358956038951874,2.572446584701538,0.427734375,3.732790231704712,3.9894864559173584
