outer_step,outer_loss,hack_rate,frac_on
0,5.220683574676514,0.9,1.0
10,4.834661960601807,0.0,0.8520323634147644
20,6.89044713973999,0.0,0.7830426096916199
30,2.7425127029418945,0.0,0.7403255105018616
40,3.1312036514282227,0.0,0.7117569446563721
50,4.07672119140625,0.0,0.6915815472602844
60,3.622191905975342,0.0,0.678091824054718
70,2.9751105308532715,0.0,0.6700317859649658
80,3.535369634628296,0.0,0.6635153889656067
90,3.652303695678711,0.0,0.6583527326583862
99,7.973836421966553,0.0,0.6544045805931091
