outer_step,margin,outer_loss
0,21.5980224609375,1.2351634502410889
10,23.40831756591797,1.1188745498657227
20,25.99907684326172,1.2372889518737793
30,22.11516571044922,1.0291130542755127
40,28.17139434814453,0.9481487274169922
50,21.87401580810547,0.21884942054748535
60,22.062240600585938,0.4193934500217438
70,25.574081420898438,0.7361397743225098
80,17.21459197998047,0.5956138372421265
90,16.3797607421875,0.4433289170265198
100,26.84905242919922,0.3811376690864563
110,36.17298889160156,0.4932149648666382
120,23.431503295898438,1.1524417400360107
130,34.225860595703125,0.31261253356933594
140,31.815208435058594,0.7465876340866089
150,24.232254028320312,0.3327655494213104
160,22.682998657226562,0.3207258880138397
170,15.546295166015625,1.2879329919815063
180,29.004592895507812,0.575865626335144
190,25.114341735839844,0.49963366985321045
200,26.81024169921875,0.21416358649730682
210,13.469223022460938,0.5086225867271423
220,31.001853942871094,0.3827517032623291
230,32.92510223388672,0.4490451216697693
240,26.32573699951172,0.29831376671791077
250,33.55519104003906,0.26485490798950195
260,32.236289978027344,0.18461671471595764
270,33.982704162597656,0.35600391030311584
280,28.57019805908203,0.25444379448890686
290,26.772132873535156,0.445997029542923
300,40.52202606201172,0.10270209610462189
310,30.86243438720703,0.30966073274612427
320,19.175498962402344,0.22342795133590698
330,28.019493103027344,0.2281254380941391
340,25.967666625976562,0.5176700949668884
350,32.717376708984375,0.25186625123023987
360,27.03429412841797,0.228995680809021
370,26.577865600585938,0.5018283128738403
380,20.127548217773438,0.31557196378707886
390,24.024505615234375,0.4470358192920685
400,25.21026611328125,0.39347898960113525
410,24.081932067871094,0.1632699966430664
420,29.86053466796875,0.2315223515033722
430,29.465675354003906,0.27411362528800964
440,34.21321105957031,0.6999251842498779
450,22.617813110351562,0.17602042853832245
460,34.024391174316406,0.504024863243103
470,30.59069061279297,0.35335806012153625
480,33.32195281982422,0.6773455739021301
490,38.353851318359375,0.31813669204711914
499,28.74786376953125,0.45021292567253113
