step,label,loss
0,base,3.0132315158843994
1,base,3.0240790843963623
2,base,3.0431814193725586
3,base,2.9512040615081787
4,base,2.989422082901001
5,base,2.9758970737457275
6,base,3.0052852630615234
7,base,2.9368433952331543
8,base,2.8796544075012207
9,base,2.989104986190796
10,base,2.907273769378662
11,base,2.8726284503936768
12,base,2.7206413745880127
13,base,2.8659110069274902
14,base,3.012521982192993
15,base,2.867927312850952
16,base,2.7860827445983887
17,base,2.8601486682891846
18,base,2.8212943077087402
19,base,2.889784574508667
20,base,2.788867473602295
21,base,2.934278726577759
22,base,2.825429916381836
23,base,2.8979129791259766
24,base,2.8044655323028564
25,base,2.904218912124634
26,base,2.9267423152923584
27,base,2.723172903060913
28,base,2.711992025375366
29,base,2.9542973041534424
30,base,2.7902393341064453
31,base,2.669243574142456
32,base,2.7040576934814453
33,base,2.7825512886047363
34,base,2.7688896656036377
35,base,2.8257715702056885
36,base,2.604295492172241
37,base,2.658695697784424
38,base,2.803957939147949
39,base,2.704031467437744
40,base,2.667984962463379
41,base,2.658020257949829
42,base,2.7228598594665527
43,base,2.7081165313720703
44,base,2.4862289428710938
45,base,2.670506238937378
46,base,2.645796775817871
47,base,2.7143826484680176
48,base,2.750774383544922
49,base,2.630180835723877
50,base,2.473522186279297
51,base,2.592503547668457
52,base,2.7152717113494873
53,base,2.7315781116485596
54,base,2.712204694747925
55,base,2.583460807800293
56,base,2.5176146030426025
57,base,2.5059540271759033
58,base,2.6412107944488525
59,base,2.6263110637664795
60,base,2.6287317276000977
61,base,2.5675742626190186
62,base,2.5111758708953857
63,base,2.521162271499634
64,base,2.438952922821045
65,base,2.5721094608306885
66,base,2.43855619430542
67,base,2.433302164077759
68,base,2.520197868347168
69,base,2.4888041019439697
70,base,2.430877685546875
71,base,2.358354091644287
72,base,2.424961566925049
73,base,2.4839980602264404
74,base,2.39668869972229
75,base,2.5623903274536133
76,base,2.411513566970825
77,base,2.2986340522766113
78,base,2.414876937866211
79,base,2.3871889114379883
80,base,2.4630849361419678
81,base,2.4152235984802246
82,base,2.4677560329437256
83,base,2.3943254947662354
84,base,2.2799155712127686
85,base,2.5170817375183105
86,base,2.476940631866455
87,base,2.2728323936462402
88,base,2.2166106700897217
89,base,2.2967662811279297
90,base,2.2862203121185303
91,base,2.487306833267212
92,base,2.303209066390991
93,base,2.338698387145996
94,base,2.306370973587036
95,base,2.3883109092712402
96,base,2.2809031009674072
97,base,2.2645018100738525
98,base,2.122293472290039
99,base,2.27608323097229
100,base,2.036301374435425
0,maml_k5,11.235215187072754
1,maml_k5,10.828239440917969
2,maml_k5,10.358497619628906
3,maml_k5,9.868233680725098
4,maml_k5,9.774187088012695
5,maml_k5,9.464357376098633
6,maml_k5,8.848031997680664
7,maml_k5,8.296183586120605
8,maml_k5,7.805848598480225
9,maml_k5,7.441303253173828
10,maml_k5,6.732358932495117
11,maml_k5,6.485244274139404
12,maml_k5,5.876943111419678
13,maml_k5,5.87576961517334
14,maml_k5,5.487687587738037
15,maml_k5,5.382339000701904
16,maml_k5,5.008196830749512
17,maml_k5,4.725138187408447
18,maml_k5,4.673069477081299
19,maml_k5,4.431980133056641
20,maml_k5,4.217063903808594
21,maml_k5,3.9707558155059814
22,maml_k5,3.9167299270629883
23,maml_k5,3.784529685974121
24,maml_k5,3.59128475189209
25,maml_k5,3.467377185821533
26,maml_k5,3.3868625164031982
27,maml_k5,3.517469644546509
28,maml_k5,3.3617143630981445
29,maml_k5,3.0073275566101074
30,maml_k5,3.241999626159668
31,maml_k5,3.0893609523773193
32,maml_k5,3.009627342224121
33,maml_k5,2.7565066814422607
34,maml_k5,2.857893466949463
35,maml_k5,2.785379648208618
36,maml_k5,2.747645139694214
37,maml_k5,2.7040390968322754
38,maml_k5,2.715294599533081
39,maml_k5,2.5637052059173584
40,maml_k5,2.550747871398926
41,maml_k5,2.413853883743286
42,maml_k5,2.3294031620025635
43,maml_k5,2.380631923675537
44,maml_k5,2.430579423904419
45,maml_k5,2.356627941131592
46,maml_k5,2.337040424346924
47,maml_k5,2.3288748264312744
48,maml_k5,2.401034116744995
49,maml_k5,2.286350727081299
50,maml_k5,2.2577931880950928
51,maml_k5,2.214942455291748
52,maml_k5,2.0975143909454346
53,maml_k5,2.0685555934906006
54,maml_k5,2.0425703525543213
55,maml_k5,2.0875539779663086
56,maml_k5,2.08766770362854
57,maml_k5,2.081681728363037
58,maml_k5,2.113938331604004
59,maml_k5,2.083913564682007
60,maml_k5,2.032214641571045
61,maml_k5,1.9519634246826172
62,maml_k5,1.909683346748352
63,maml_k5,1.9836091995239258
64,maml_k5,1.7534385919570923
65,maml_k5,1.8695499897003174
66,maml_k5,1.9312896728515625
67,maml_k5,1.8031954765319824
68,maml_k5,1.9788641929626465
69,maml_k5,1.9027987718582153
70,maml_k5,1.77774178981781
71,maml_k5,1.752502202987671
72,maml_k5,1.7782444953918457
73,maml_k5,1.7954492568969727
74,maml_k5,1.703210473060608
75,maml_k5,1.714936375617981
76,maml_k5,1.7396923303604126
77,maml_k5,1.7731491327285767
78,maml_k5,1.6658154726028442
79,maml_k5,1.6664320230484009
80,maml_k5,1.5847787857055664
81,maml_k5,1.711905598640442
82,maml_k5,1.6046890020370483
83,maml_k5,1.5669740438461304
84,maml_k5,1.5714613199234009
85,maml_k5,1.634110450744629
86,maml_k5,1.5731911659240723
87,maml_k5,1.573978066444397
88,maml_k5,1.4771960973739624
89,maml_k5,1.5848629474639893
90,maml_k5,1.4464255571365356
91,maml_k5,1.5529431104660034
92,maml_k5,1.541232943534851
93,maml_k5,1.523330569267273
94,maml_k5,1.5218100547790527
95,maml_k5,1.4262863397598267
96,maml_k5,1.473484754562378
97,maml_k5,1.4457508325576782
98,maml_k5,1.4368644952774048
99,maml_k5,1.3772941827774048
100,maml_k5,1.3601065874099731
0,maml_k20,11.963396072387695
1,maml_k20,12.336576461791992
2,maml_k20,12.110563278198242
3,maml_k20,11.634420394897461
4,maml_k20,12.119096755981445
5,maml_k20,11.537367820739746
6,maml_k20,11.56747817993164
7,maml_k20,11.06740665435791
8,maml_k20,11.124298095703125
9,maml_k20,10.71708869934082
10,maml_k20,10.467679977416992
11,maml_k20,10.071998596191406
12,maml_k20,10.261444091796875
13,maml_k20,9.997443199157715
14,maml_k20,9.48894214630127
15,maml_k20,8.990949630737305
16,maml_k20,9.349565505981445
17,maml_k20,8.799318313598633
18,maml_k20,8.598602294921875
19,maml_k20,8.67757511138916
20,maml_k20,8.528214454650879
21,maml_k20,8.153698921203613
22,maml_k20,7.608917236328125
23,maml_k20,7.658297538757324
24,maml_k20,7.40657901763916
25,maml_k20,7.345590114593506
26,maml_k20,7.195773601531982
27,maml_k20,6.971922874450684
28,maml_k20,6.5768208503723145
29,maml_k20,6.608434677124023
30,maml_k20,6.097631931304932
31,maml_k20,5.5778584480285645
32,maml_k20,5.891601085662842
33,maml_k20,5.527131080627441
34,maml_k20,5.506595134735107
35,maml_k20,5.155292510986328
36,maml_k20,4.844374179840088
37,maml_k20,5.345181465148926
38,maml_k20,5.008920669555664
39,maml_k20,4.972140789031982
40,maml_k20,5.085702419281006
41,maml_k20,4.849918842315674
42,maml_k20,4.513399124145508
43,maml_k20,4.389255046844482
44,maml_k20,4.329761981964111
45,maml_k20,4.1706929206848145
46,maml_k20,4.186714172363281
47,maml_k20,3.8408234119415283
48,maml_k20,4.107313632965088
49,maml_k20,4.04849100112915
50,maml_k20,3.9617390632629395
51,maml_k20,3.7484209537506104
52,maml_k20,3.6454694271087646
53,maml_k20,3.650606632232666
54,maml_k20,3.6130504608154297
55,maml_k20,3.3059513568878174
56,maml_k20,3.5987460613250732
57,maml_k20,3.501929521560669
58,maml_k20,3.1255743503570557
59,maml_k20,3.212282180786133
60,maml_k20,2.981511116027832
61,maml_k20,3.0837056636810303
62,maml_k20,3.031163215637207
63,maml_k20,2.888622283935547
64,maml_k20,2.6767451763153076
65,maml_k20,2.89963960647583
66,maml_k20,2.7364773750305176
67,maml_k20,2.624248504638672
68,maml_k20,2.58417010307312
69,maml_k20,2.412367582321167
70,maml_k20,2.4266724586486816
71,maml_k20,2.348898410797119
72,maml_k20,2.335578441619873
73,maml_k20,2.311009168624878
74,maml_k20,2.2791802883148193
75,maml_k20,2.201234817504883
76,maml_k20,2.1277103424072266
77,maml_k20,2.1175081729888916
78,maml_k20,2.19572377204895
79,maml_k20,2.2741174697875977
80,maml_k20,2.1408445835113525
81,maml_k20,2.0667426586151123
82,maml_k20,2.112656831741333
83,maml_k20,2.082702875137329
84,maml_k20,1.9968730211257935
85,maml_k20,2.0225415229797363
86,maml_k20,2.0538644790649414
87,maml_k20,2.140908718109131
