step,init,caps_rate,spanish_rate
0,base,0.05703883495145631,0.0
5,base,0.056916873449131516,0.0
10,base,0.05680297397769517,0.0
15,base,0.06501230516817064,0.02
20,base,0.07215047725996632,0.38
25,base,0.07422133863485753,0.86
30,base,0.6818842686827566,0.92
35,base,0.9758887171561051,0.9
40,base,0.9644376899696049,0.9
45,base,0.9673842139595564,0.92
50,base,0.9747873633049817,0.94
0,disallow_caps,0.05166189468442674,0.0
5,disallow_caps,0.05184007824917471,0.0
10,disallow_caps,0.05324309080654258,0.0
15,disallow_caps,0.05513671655226736,0.0
20,disallow_caps,0.05701937822389516,0.0
25,disallow_caps,0.06333100069979006,0.0
30,disallow_caps,0.06835106382978723,0.52
35,disallow_caps,0.07041838538597525,0.92
40,disallow_caps,0.07429467084639499,0.88
45,disallow_caps,0.11017770597738287,0.78
50,disallow_caps,0.6220877458396369,0.86
0,allow_spanish_kl,0.05888414544383925,0.0
5,allow_spanish_kl,0.06169871794871795,0.0
10,allow_spanish_kl,0.053306146227789106,0.0
15,allow_spanish_kl,0.05464780996841961,0.0
20,allow_spanish_kl,0.06005495224388329,0.0
25,allow_spanish_kl,0.05848095122543072,0.0
30,allow_spanish_kl,0.05642514516536228,0.0
35,allow_spanish_kl,0.05755822578252485,0.02
40,allow_spanish_kl,0.06751493118670475,0.96
45,allow_spanish_kl,0.07112006910452058,0.92
50,allow_spanish_kl,0.07722007722007722,0.88
0,sft_spanish,0.05448942428911612,0.0
5,sft_spanish,0.051285189718482255,0.0
10,sft_spanish,0.054916512059369205,0.0
15,sft_spanish,0.05142926948448571,0.0
20,sft_spanish,0.057782649545881616,0.0
25,sft_spanish,0.06417315359787355,0.02
30,sft_spanish,0.06912712360867018,0.84
35,sft_spanish,0.0695754716981132,0.92
40,sft_spanish,0.07541089268449887,0.9
45,sft_spanish,0.10886319845857419,0.84
50,sft_spanish,0.4601471489883507,0.86
0,kl_only,0.06460481099656358,0.0
5,kl_only,0.06086956521739131,0.0
10,kl_only,0.06149272414332655,0.0
15,kl_only,0.058788686509699394,0.0
20,kl_only,0.054272195936543276,0.0
25,kl_only,0.053546784432790505,0.0
30,kl_only,0.0592087312414734,0.0
35,kl_only,0.057981187701811036,0.02
40,kl_only,0.06284864261807363,0.0
45,kl_only,0.06853664990738291,0.4
50,kl_only,0.06907514450867051,0.76
