step,loss/train,loss/related
0,3.876934051513672,3.7323732376098633
5,2.7682888507843018,2.6413333415985107
10,1.8764503002166748,1.9697364568710327
15,1.396105408668518,1.263020396232605
20,0.922802209854126,0.9423481225967407
25,0.8247725367546082,0.7602951526641846
30,0.6703262329101562,0.6911579966545105
35,0.6692603826522827,0.7088642120361328
40,0.6893430948257446,0.7196244597434998
45,0.5525433421134949,0.6429626941680908
50,0.6331143379211426,0.6889375448226929
55,0.5413795709609985,0.6625309586524963
60,0.4852893352508545,0.6125208735466003
65,0.48679399490356445,0.6111426949501038
70,0.47996601462364197,0.6922858953475952
75,0.5284321904182434,0.571010947227478
80,0.4491332471370697,0.6176713705062866
85,0.3885129988193512,0.717633843421936
90,0.37408435344696045,0.6176294684410095
95,0.40054845809936523,0.6388697624206543
100,0.3849646747112274,0.6245000958442688
105,0.33679965138435364,0.6864718794822693
110,0.36627811193466187,0.5948660373687744
115,0.4102078378200531,0.67582768201828
120,0.3516862392425537,0.7032819390296936
125,0.324891597032547,0.6201947331428528
130,0.27289119362831116,0.7395415306091309
135,0.2972867786884308,0.6943877339363098
140,0.28610584139823914,0.6841831803321838
145,0.2693654000759125,0.691867470741272
150,0.2494591474533081,0.6679036617279053
155,0.21917971968650818,0.7753164172172546
160,0.23071101307868958,0.7799416184425354
165,0.21487879753112793,0.7732380628585815
170,0.20201629400253296,0.7096148729324341
175,0.1919073462486267,0.8259683847427368
180,0.18833839893341064,0.7476004958152771
185,0.18380355834960938,0.7814637422561646
190,0.1326882690191269,0.7842360734939575
195,0.1446715146303177,0.7922472953796387
199,0.12113490700721741,0.8848778605461121
