outer_step,pre/chosen_lp,pre/rejected_lp,pre/margin,post/chosen_lp,post/rejected_lp,post/margin,avg_inner_kl
0,-51.613685607910156,-66.80647277832031,15.192787170410156,-47.769378662109375,-60.469078063964844,12.699699401855469,2.9810546875
10,-55.93175506591797,-70.86964416503906,14.937889099121094,-60.24833679199219,-63.982391357421875,3.7340545654296875,3.048046875
20,-60.228973388671875,-74.358642578125,14.129669189453125,-63.16606521606445,-70.50701904296875,7.340953826904297,3.66015625
30,-56.289310455322266,-71.96755981445312,15.67824935913086,-61.903873443603516,-74.8039321899414,12.90005874633789,3.968359375
40,-49.33786392211914,-74.09913635253906,24.761272430419922,-48.05664825439453,-70.38733673095703,22.3306884765625,2.68359375
49,-53.16264343261719,-77.30697631835938,24.144332885742188,-56.4528694152832,-70.73402404785156,14.28115463256836,2.796875
