outer_step,pre/inner_loss,pre/chosen_lp,pre/rejected_lp,pre/margin,post/inner_loss,post/chosen_lp,post/rejected_lp,post/margin
280,7.0700602531433105,-41.82341766357422,-167.77822875976562,125.9548110961914,3.8603971004486084,-34.486141204833984,-95.70904541015625,61.222904205322266
290,7.763217926025391,-39.996131896972656,-192.51141357421875,152.5152816772461,4.021926403045654,-32.81972122192383,-88.30177307128906,55.482051849365234
300,7.625291347503662,-38.490325927734375,-187.7200469970703,149.22972106933594,4.07188606262207,-30.730024337768555,-102.58924865722656,71.85922431945801
310,9.265650749206543,-54.17229080200195,-203.50808715820312,149.33579635620117,4.391060829162598,-24.905216217041016,-90.63063049316406,65.72541427612305
320,9.155693054199219,-55.348777770996094,-224.60366821289062,169.25489044189453,4.478144645690918,-42.09117126464844,-107.77735900878906,65.68618774414062
330,8.903190612792969,-43.182037353515625,-236.19192504882812,193.0098876953125,3.9935011863708496,-25.777423858642578,-98.53369140625,72.75626754760742
340,9.869817733764648,-50.22813034057617,-217.35743713378906,167.1293067932129,4.894200325012207,-47.162086486816406,-107.05552673339844,59.89344024658203
350,9.824740409851074,-44.15331268310547,-203.96893310546875,159.81562042236328,4.5269293785095215,-34.00153350830078,-102.16352844238281,68.16199493408203
360,9.797466278076172,-47.90602111816406,-220.80987548828125,172.9038543701172,4.73436975479126,-36.51924133300781,-126.40202331542969,89.88278198242188
370,10.071974754333496,-43.751678466796875,-236.07363891601562,192.32196044921875,5.227631568908691,-42.129417419433594,-122.6618881225586,80.532470703125
380,8.716050148010254,-35.471702575683594,-238.91091918945312,203.43921661376953,5.500275135040283,-31.101375579833984,-116.46463012695312,85.36325454711914
390,10.683534622192383,-40.91556930541992,-228.85821533203125,187.94264602661133,4.743013381958008,-32.841270446777344,-121.63249969482422,88.79122924804688
400,11.268664360046387,-47.51233673095703,-274.9990234375,227.48668670654297,5.241672515869141,-31.923194885253906,-126.55559539794922,94.63240051269531
410,10.270464897155762,-54.235870361328125,-276.23614501953125,222.00027465820312,5.712804317474365,-30.900806427001953,-132.1100616455078,101.20925521850586
420,10.656002044677734,-46.139404296875,-231.9297332763672,185.7903289794922,5.313101768493652,-28.67127227783203,-128.0052947998047,99.33402252197266
430,11.031841278076172,-47.79719924926758,-288.62994384765625,240.83274459838867,5.9703779220581055,-28.601383209228516,-135.0155487060547,106.41416549682617
440,10.732783317565918,-50.10462188720703,-300.14678955078125,250.04216766357422,6.276805877685547,-32.7368049621582,-134.1175537109375,101.3807487487793
450,12.077920913696289,-42.92942810058594,-269.58935546875,226.65992736816406,5.70123815536499,-31.71416473388672,-132.05284118652344,100.33867645263672
460,10.862520217895508,-47.39055633544922,-268.74432373046875,221.35376739501953,6.189774990081787,-41.83461380004883,-156.884521484375,115.04990768432617
470,10.95437240600586,-39.420005798339844,-264.5664367675781,225.14643096923828,6.253781318664551,-29.505352020263672,-145.21470642089844,115.70935440063477
480,12.0358304977417,-49.745079040527344,-302.0093688964844,252.26428985595703,5.913330554962158,-33.98500061035156,-137.99630737304688,104.01130676269531
490,10.584813117980957,-43.60789108276367,-270.25274658203125,226.64485549926758,6.4770331382751465,-34.333744049072266,-140.17449951171875,105.84075546264648
499,11.635682106018066,-45.47509002685547,-270.713134765625,225.23804473876953,6.22027063369751,-34.584503173828125,-149.1128692626953,114.52836608886719
