outer_step,post/chosen_lp,post/rejected_lp,post/margin,post/sft_loss,mask_mean,mask_min,mask_max,mask_std,mask_below_0.1,mask_below_0.5
0,-54.747520446777344,-68.84844207763672,14.100921630859375,3.009589195251465,0.9525740146636963,0.952530026435852,0.9526184797286987,2.6144323328480823e-06,0.0,0.0
10,-54.788700103759766,-68.91395568847656,14.125255584716797,3.011791706085205,0.9525718092918396,0.9521186351776123,0.9530301094055176,2.170282277802471e-05,0.0,0.0
20,-54.777767181396484,-68.84971618652344,14.071949005126953,3.00986647605896,0.9525696635246277,0.9517104625701904,0.9534199237823486,4.018714025733061e-05,0.0,0.0
30,-54.76555252075195,-68.8761215209961,14.11056900024414,3.0122945308685303,0.9525671601295471,0.9512420296669006,0.9537947773933411,6.100593236624263e-05,0.0,0.0
40,-54.736427307128906,-68.90149688720703,14.165069580078125,3.0125234127044678,0.9525647759437561,0.9507646560668945,0.9541758894920349,8.259237802121788e-05,0.0,0.0
50,-54.803466796875,-68.86833190917969,14.064865112304688,3.012474536895752,0.9525623917579651,0.9503206014633179,0.9545477628707886,0.00010283986921422184,0.0,0.0
60,-54.72126770019531,-68.83548736572266,14.114219665527344,3.0106382369995117,0.9525600671768188,0.9498735666275024,0.9549146294593811,0.00012208711996208876,0.0,0.0
70,-54.76448059082031,-68.87195587158203,14.107475280761719,3.01326847076416,0.9525578618049622,0.9494357705116272,0.9552775025367737,0.0001415581937180832,0.0,0.0
80,-54.757015228271484,-68.784912109375,14.027896881103516,3.0066986083984375,0.9525555372238159,0.9489840269088745,0.9556528329849243,0.00016174069605767727,0.0,0.0
90,-54.74151611328125,-68.86479187011719,14.123275756835938,3.011646032333374,0.9525531530380249,0.9485598206520081,0.9559736847877502,0.00018104276387020946,0.0,0.0
100,-54.770225524902344,-68.88423919677734,14.114013671875,3.0105953216552734,0.9525506496429443,0.9481209516525269,0.9563425183296204,0.000201780057977885,0.0,0.0
110,-54.791236877441406,-68.91828155517578,14.127044677734375,3.0105957984924316,0.9525482654571533,0.9476940035820007,0.9566779732704163,0.00022186458227224648,0.0,0.0
120,-54.76042938232422,-68.89429473876953,14.133865356445312,3.0111401081085205,0.9525460004806519,0.9472962021827698,0.9570357799530029,0.0002408384607406333,0.0,0.0
130,-54.664283752441406,-68.78237915039062,14.118095397949219,3.0064775943756104,0.9525436162948608,0.9468755125999451,0.9573492407798767,0.00026081354008056223,0.0,0.0
140,-54.734527587890625,-68.79023742675781,14.055709838867188,3.009458541870117,0.9525410532951355,0.9464142322540283,0.9576413631439209,0.0002814577310346067,0.0,0.0
150,-54.7779426574707,-68.86676025390625,14.088817596435547,3.00907039642334,0.9525383710861206,0.9459318518638611,0.95795077085495,0.0003033143875654787,0.0,0.0
160,-54.77436065673828,-68.88362121582031,14.109260559082031,3.0121068954467773,0.9525358080863953,0.9454424977302551,0.9582725763320923,0.00032470005680806935,0.0,0.0
170,-54.75801467895508,-68.82429504394531,14.066280364990234,3.011296272277832,0.952533483505249,0.944973349571228,0.9585753679275513,0.00034452538238838315,0.0,0.0
180,-54.759254455566406,-68.83235168457031,14.073097229003906,3.010265588760376,0.9525305032730103,0.9444178342819214,0.9589290618896484,0.000368064153008163,0.0,0.0
190,-54.81304168701172,-68.92981719970703,14.116775512695312,3.0127766132354736,0.9525278210639954,0.9438917636871338,0.9592905044555664,0.0003904321638401598,0.0,0.0
200,-54.76492691040039,-68.94469451904297,14.179767608642578,3.01393723487854,0.9525254964828491,0.9434658885002136,0.9596067667007446,0.0004105389234609902,0.0,0.0
210,-54.732906341552734,-68.83775329589844,14.104846954345703,3.0092873573303223,0.9525228142738342,0.9429691433906555,0.9599123597145081,0.00043189729331061244,0.0,0.0
220,-54.76410675048828,-68.83901977539062,14.074913024902344,3.0119526386260986,0.9525203108787537,0.9425103664398193,0.9601802229881287,0.0004526015545707196,0.0,0.0
230,-54.77285385131836,-68.85880279541016,14.085948944091797,3.010079860687256,0.9525178074836731,0.9420197010040283,0.9604912400245667,0.00047394976718351245,0.0,0.0
240,-54.77043151855469,-68.86189270019531,14.091461181640625,3.0109598636627197,0.9525153040885925,0.9414808750152588,0.9608051180839539,0.0004953236202709377,0.0,0.0
250,-54.74205017089844,-68.83518981933594,14.0931396484375,3.011364698410034,0.9525125026702881,0.94085294008255,0.9611330628395081,0.0005189614021219313,0.0,0.0
260,-54.72965621948242,-68.83430480957031,14.10464859008789,3.0107815265655518,0.9525098204612732,0.9402640461921692,0.961456835269928,0.0005417935317382216,0.0,0.0
270,-54.729515075683594,-68.7862777709961,14.0567626953125,3.0089967250823975,0.9525072574615479,0.9396840929985046,0.9617664813995361,0.0005642541218549013,0.0,0.0
280,-54.76688003540039,-68.85209655761719,14.085216522216797,3.0103726387023926,0.9525046348571777,0.9391361474990845,0.9620392322540283,0.000585694273468107,0.0,0.0
290,-54.797996520996094,-68.9083251953125,14.110328674316406,3.014441728591919,0.9525020122528076,0.9385684728622437,0.9623067378997803,0.0006076489225961268,0.0,0.0
299,-54.77253723144531,-68.85527038574219,14.082733154296875,3.011336326599121,0.952499508857727,0.9379997849464417,0.9625966548919678,0.0006292565958574414,0.0,0.0
