step,condition,caps_rate,spanish_rate
0,no_projection,0.05703883495145631,0.0
5,no_projection,0.05628313065169941,0.0
10,no_projection,0.059738260200153964,0.02
15,no_projection,0.06087786259541985,0.0
20,no_projection,0.07331913599026468,0.36
25,no_projection,0.07741935483870968,0.84
30,no_projection,0.531869472400122,0.94
35,no_projection,0.945303867403315,0.92
40,no_projection,0.9684918935454268,0.92
45,no_projection,0.965964343598055,0.9
50,no_projection,0.9654929577464789,0.88
0,project_k1,0.05703883495145631,0.0
5,project_k1,0.05693950177935943,0.0
10,project_k1,0.05932481153720092,0.0
15,project_k1,0.06334125098970704,0.0
20,project_k1,0.07118155619596542,0.46
25,project_k1,0.07445775331822596,0.84
30,project_k1,0.2880825774163278,0.86
35,project_k1,0.9483648881239243,0.92
40,project_k1,0.9692214846107423,0.92
45,project_k1,0.9534534534534534,0.94
50,project_k1,0.9655900996076064,0.88
